username,region,email,phone number,account label
mistefa,Malta,mi23@gmail.com,3569870000000,real
fausta,Lithuania,fausta@outlook.com,3705840000000,real
dipti,Spain,dipti2000@hotmail.com,347682000000,real
nikandros,Spain,nik.56@yahoo.com,342795000000,real
merle,Greece,mrlonb@icloud.com,306912000000,real
amador,Greece,amadorsmith@email.com,618527000000,fake
pandora,Albania,,3555741289688,real
lucette,Sweden,tte45@none.ocm,865249000000,fake
levent,Albania,vent3@name.uu,3555790000000,fake
ziyad,Monaco,ziziad@gmail.com,3775250000000,real
eldon,Monaco,paulpaul@hotmail.com,865249000000,fake
xena,Norway,xenamail@hotmail.kjn,,fake
paul,Hungary,name@random.coem,367458000000,fake
